"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","68328716","62044666","50","1000","120000","Global"
"3-lock","119839872","44778214","50","1000","120000","Global"
"4-condition","128977528","115645376","100","1000","120000","Global"
"3-lock","174672037","71632074","100","1000","120000","Global"
"4-condition","178820737","163285757","150","1000","120000","Global"
"3-lock","233506623","100864657","150","1000","120000","Global"
"4-condition","239357790","221096839","200","1000","120000","Global"
"3-lock","249980868","109802631","200","1000","120000","Global"
"4-condition","257764529","240535706","250","1000","120000","Global"
"3-lock","314499031","141627764","250","1000","120000","Global"
"4-condition","241918374","227369184","300","1000","120000","Global"
"3-lock","339121256","151833232","300","1000","120000","Global"
"4-condition","240594121","227737134","350","1000","120000","Global"
"3-lock","383038761","175531905","350","1000","120000","Global"
"4-condition","240181754","229551157","400","1000","120000","Global"
"3-lock","402681148","185422163","400","1000","120000","Global"
"4-condition","356519987","339248564","450","1000","120000","Global"
"3-lock","466633603","210542884","450","1000","120000","Global"
"4-condition","295792672","285490893","500","1000","120000","Global"
"3-lock","505434262","232057151","500","1000","120000","Global"
