"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","96874658","78439039","50","1000","120000","Global"
"3-lock","146561981","47172415","50","1000","120000","Global"
"4-condition","162812074","152450475","100","1000","120000","Global"
"3-lock","199687083","70942282","100","1000","120000","Global"
"4-condition","222812050","220007279","150","1000","120000","Global"
"3-lock","278437137","104851263","150","1000","120000","Global"
"4-condition","283124565","289818215","200","1000","120000","Global"
"3-lock","303749584","122687334","200","1000","120000","Global"
"4-condition","286562055","292661242","250","1000","120000","Global"
"3-lock","350312003","145824481","250","1000","120000","Global"
"4-condition","305624550","314202139","300","1000","120000","Global"
"3-lock","369687059","167470306","300","1000","120000","Global"
"4-condition","287187069","297106566","350","1000","120000","Global"
"3-lock","396249589","189426273","350","1000","120000","Global"
"4-condition","278749588","301383609","400","1000","120000","Global"
"3-lock","456874484","209860628","400","1000","120000","Global"
"4-condition","305937040","309499641","450","1000","120000","Global"
"3-lock","518437008","248399937","450","1000","120000","Global"
"4-condition","247812085","269830305","500","1000","120000","Global"
"3-lock","570624525","264293195","500","1000","120000","Global"
