"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","99374540","79882197","50","1000","120000","Thread-Local"
"3-lock","159687082","50015665","50","1000","120000","Thread-Local"
"4-condition","193124535","154173371","100","1000","120000","Thread-Local"
"3-lock","204062156","72319572","100","1000","120000","Thread-Local"
"4-condition","256874498","231971218","150","1000","120000","Thread-Local"
"3-lock","271249535","102612906","150","1000","120000","Thread-Local"
"4-condition","311249492","274394042","200","1000","120000","Thread-Local"
"3-lock","321874542","129319006","200","1000","120000","Thread-Local"
"4-condition","324999565","308512133","250","1000","120000","Thread-Local"
"3-lock","350624623","144591585","250","1000","120000","Thread-Local"
"4-condition","349999523","327006001","300","1000","120000","Thread-Local"
"3-lock","399999615","171960015","300","1000","120000","Thread-Local"
"4-condition","305624640","295542478","350","1000","120000","Thread-Local"
"3-lock","429374623","183191993","350","1000","120000","Thread-Local"
"4-condition","307812027","285570076","400","1000","120000","Thread-Local"
"3-lock","466249558","198752630","400","1000","120000","Thread-Local"
"4-condition","282499572","263395128","450","1000","120000","Thread-Local"
"3-lock","545624497","237920975","450","1000","120000","Thread-Local"
"4-condition","304062084","303063750","500","1000","120000","Thread-Local"
"3-lock","626249546","265035790","500","1000","120000","Thread-Local"
