"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","162278091","147575464","50","1000","200000","Global"
"3-lock","185662559","67701768","50","1000","200000","Global"
"4-condition","309212852","292121307","100","1000","200000","Global"
"3-lock","284641769","114806977","100","1000","200000","Global"
"4-condition","366547487","349773216","150","1000","200000","Global"
"3-lock","366271974","155056176","150","1000","200000","Global"
"4-condition","414070718","398426699","200","1000","200000","Global"
"3-lock","445219747","193751201","200","1000","200000","Global"
"4-condition","456645159","437018755","250","1000","200000","Global"
"3-lock","524432602","233358859","250","1000","200000","Global"
"4-condition","364116902","347576398","300","1000","200000","Global"
"3-lock","573568148","255405789","300","1000","200000","Global"
"4-condition","448874814","424080582","350","1000","200000","Global"
"3-lock","632993302","278347646","350","1000","200000","Global"
"4-condition","414764674","392388186","400","1000","200000","Global"
"3-lock","699201792","315759773","400","1000","200000","Global"
"4-condition","450978378","427778125","450","1000","200000","Global"
"3-lock","798003824","360088643","450","1000","200000","Global"
"4-condition","586157104","556098676","500","1000","200000","Global"
"3-lock","852454647","379540716","500","1000","200000","Global"
