"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","902181104","902954619","50","1000","600000","Thread-Local"
"3-lock","479702900","177877042","50","1000","600000","Thread-Local"
"4-condition","921517986","919331737","100","1000","600000","Thread-Local"
"3-lock","795016676","323083856","100","1000","600000","Thread-Local"
"4-condition","1077033498","1057106687","150","1000","600000","Thread-Local"
"3-lock","1091494840","464141409","150","1000","600000","Thread-Local"
"4-condition","1117921723","1080251504","200","1000","600000","Thread-Local"
"3-lock","1235112389","534962635","200","1000","600000","Thread-Local"
"4-condition","895991795","858521015","250","1000","600000","Thread-Local"
"3-lock","1420679720","627605674","250","1000","600000","Thread-Local"
"4-condition","962707342","914421482","300","1000","600000","Thread-Local"
"3-lock","1649016263","732844164","300","1000","600000","Thread-Local"
"4-condition","1097932439","1038346114","350","1000","600000","Thread-Local"
"3-lock","1765749993","769599694","350","1000","600000","Thread-Local"
"4-condition","677097472","642345288","400","1000","600000","Thread-Local"
"3-lock","1962637664","859909073","400","1000","600000","Thread-Local"
"4-condition","883868164","837361662","450","1000","600000","Thread-Local"
"3-lock","2234744429","961065488","450","1000","600000","Thread-Local"
"4-condition","788346228","755682921","500","1000","600000","Thread-Local"
"3-lock","2499751655","1061679162","500","1000","600000","Thread-Local"
