"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","51567981","38806674","50","1000","12000","Global"
"3-lock","59925051","27482733","50","1000","12000","Global"
"4-condition","17116573","12319232","100","1000","12000","Global"
"3-lock","25402273","10810203","100","1000","12000","Global"
"4-condition","74333548","66411501","150","1000","12000","Global"
"3-lock","78385438","41290801","150","1000","12000","Global"
"4-condition","93291927","87941172","200","1000","12000","Global"
"3-lock","102465215","60402856","200","1000","12000","Global"
"4-condition","79210113","74879856","250","1000","12000","Global"
"3-lock","76435316","44883991","250","1000","12000","Global"
"4-condition","96051462","93794309","300","1000","12000","Global"
"3-lock","95389842","60434265","300","1000","12000","Global"
"4-condition","10583752","8537286","350","1000","12000","Global"
"3-lock","19040581","8101461","350","1000","12000","Global"
"4-condition","113967205","115903802","400","1000","12000","Global"
"3-lock","123454234","82011905","400","1000","12000","Global"
"4-condition","120765059","120313454","450","1000","12000","Global"
"3-lock","143356205","90052904","450","1000","12000","Global"
"4-condition","131051515","132957612","500","1000","12000","Global"
"3-lock","157811753","98724744","500","1000","12000","Global"
