"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","55856783","45298483","50","1000","20000","Thread-Local"
"3-lock","62594007","30097597","50","1000","20000","Thread-Local"
"4-condition","72403630","63879747","100","1000","20000","Thread-Local"
"3-lock","75322704","35370064","100","1000","20000","Thread-Local"
"4-condition","98719245","90784886","150","1000","20000","Thread-Local"
"3-lock","90416888","46297733","150","1000","20000","Thread-Local"
"4-condition","120937942","112912397","200","1000","20000","Thread-Local"
"3-lock","119808339","65811481","200","1000","20000","Thread-Local"
"4-condition","145799559","140830934","250","1000","20000","Thread-Local"
"3-lock","124245299","69508585","250","1000","20000","Thread-Local"
"4-condition","156378129","150960514","300","1000","20000","Thread-Local"
"3-lock","146167902","86224261","300","1000","20000","Thread-Local"
"4-condition","172965067","169319835","350","1000","20000","Thread-Local"
"3-lock","154000352","92169009","350","1000","20000","Thread-Local"
"4-condition","181028256","180034980","400","1000","20000","Thread-Local"
"3-lock","175183980","105318567","400","1000","20000","Thread-Local"
"4-condition","189948301","192861557","450","1000","20000","Thread-Local"
"3-lock","189050121","115629438","450","1000","20000","Thread-Local"
"4-condition","210421619","215837753","500","1000","20000","Thread-Local"
"3-lock","205485299","127276295","500","1000","20000","Thread-Local"
